version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 91.189.91.157 54396 123 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 52.46.150.99 172.31.17.14 443 49542 6 25 7514 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 209.54.182.67 172.31.17.14 443 36218 6 25 7462 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 209.54.182.67 40612 443 6 16 4864 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 52.46.150.99 55802 443 6 16 4864 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 52.46.150.99 49506 443 6 19 4996 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 34.120.127.130 37104 443 6 11 2022 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 23.186.168.123 46147 123 17 1 76 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 209.54.177.247 172.31.17.14 443 51514 6 25 7480 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 23.186.168.123 172.31.17.14 123 46147 17 1 76 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 52.46.150.99 55792 443 6 19 4996 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 172.232.28.194 36619 123 17 1 76 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 52.46.143.246 172.31.17.14 443 34876 6 25 7514 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 209.54.182.67 36218 443 6 16 4864 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 52.46.143.246 172.31.17.14 443 34892 6 24 7416 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 52.46.150.99 172.31.17.14 443 55802 6 24 7416 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 13.220.36.73 172.31.17.14 443 39546 6 5 293 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 52.46.143.246 34876 443 6 17 4916 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 52.46.143.246 172.31.17.14 443 49876 6 24 7416 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 52.46.143.246 172.31.17.14 443 49886 6 24 7474 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 146.19.24.212 172.31.17.14 45128 3671 17 1 42 1764302589 1764302626 REJECT OK
2 381492071743 eni-0ef83208bb21095f9 209.54.182.67 172.31.17.14 443 40612 6 25 7462 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.232.28.194 172.31.17.14 123 36619 17 1 76 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 52.46.143.246 49876 443 6 16 4864 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 52.46.143.246 49886 443 6 17 4916 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 13.220.36.73 39546 443 6 5 297 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 52.46.143.246 34892 443 6 17 4904 1764302589 1764302626 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 52.46.150.99 172.31.17.14 443 55792 6 25 7514 1764302589 1764302626 ACCEPT OK
